Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HTTPS Expired Cert,HTTPS Self Signed Cert,HSTS,HSTS Header,HSTS Max Age,HSTS Entire Domain,HSTS Preload Ready,HSTS Preload Pending,HSTS Preloaded,Base Domain HSTS Preloaded,Domain Supports HTTPS,Domain Enforces HTTPS,Domain Uses Strong HSTS,Unknown Error
cnf.padovanet.it,padovanet.it,http://cnf.padovanet.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
egovpadova.comune.padova.it,comune.padova.it,https://egovpadova.comune.padova.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
serviziweb5.comune.padova.it,comune.padova.it,https://serviziweb5.comune.padova.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
padovanet.it,padovanet.it,http://padovanet.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
comune.padova.it,comune.padova.it,http://comune.padova.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
sso.comune.padova.it,comune.padova.it,https://sso.comune.padova.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
serviziweb4.comune.padova.it,comune.padova.it,https://serviziweb4.comune.padova.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
multimedia.padovanet.it,padovanet.it,http://multimedia.padovanet.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
cartografia.comune.padova.it,comune.padova.it,http://cartografia.comune.padova.it,True,False,,True,False,True,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
istanzeonline.comune.padova.it,comune.padova.it,https://istanzeonline.comune.padova.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
meb.comune.padova.it,comune.padova.it,https://meb.comune.padova.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
babeleanordest.com,babeleanordest.com,http://babeleanordest.com,True,True,http://www.padovanet.it/,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
estatecarrarese.it,estatecarrarese.it,http://estatecarrarese.it,True,True,https://padovaeventi.comune.padova.it/,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
padova.cittadiniattivi.net,cittadiniattivi.net,https://padova.cittadiniattivi.net,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
altinatesangaetano.it,altinatesangaetano.it,http://www.altinatesangaetano.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
babeleanordest.com,babeleanordest.com,http://babeleanordest.com,True,True,http://www.padovanet.it/,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
progettogiovani.pd.it,progettogiovani.pd.it,http://progettogiovani.pd.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
capitalerunning.it,capitalerunning.it,http://capitalerunning.it,True,True,http://www.padovanet.it/,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
centroculturalepadova.it,centroculturalepadova.it,http://centroculturalepadova.it,True,True,http://www.altinatesangaetano.it/,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
posta.comune.padova.it,comune.padova.it,http://posta.comune.padova.it,True,False,,False,False,False,False,True,True,False,True,False,,,False,False,False,False,False,False,False,False,False
concorsocorradetti.com,concorsocorradetti.com,http://concorsocorradetti.com,True,True,http://www.padovanet.it/informazione/concorso-lirico-internazionale-iris-adami-corradetti-edizione-2018,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
capitaledelrunning.it,capitaledelrunning.it,http://capitaledelrunning.it,True,True,http://www.padovacapitaledelrunning.it/,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
concorsocorradetti.it,concorsocorradetti.it,http://concorsocorradetti.it,True,True,http://www.padovanet.it/informazione/concorso-lirico-internazionale-iris-adami-corradetti-edizione-2018,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
corriperpadova.it,corriperpadova.it,http://corriperpadova.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
concorsoliricocorradetti.com,concorsoliricocorradetti.com,http://concorsoliricocorradetti.com,True,True,http://www.padovanet.it/informazione/concorso-lirico-internazionale-iris-adami-corradetti-edizione-2018,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
concorsoliricocorradetti.it,concorsoliricocorradetti.it,http://concorsoliricocorradetti.it,True,True,http://www.padovanet.it/informazione/concorso-lirico-internazionale-iris-adami-corradetti-edizione-2018,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
cortiliecologici.it,cortiliecologici.it,http://cortiliecologici.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
discoverpadova.it,discoverpadova.it,http://discoverpadova.it,True,True,http://www.padovanet.it/cultura-e-turismo/turismo-discover-padova,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
discoverpadova.info,discoverpadova.info,http://discoverpadova.info,True,True,http://www.padovanet.it/cultura-e-turismo/turismo-discover-padova,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
discoverpadova.net,discoverpadova.net,http://discoverpadova.net,True,True,http://www.padovanet.it/cultura-e-turismo/turismo-discover-padova,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
discoverpadova.org,discoverpadova.org,http://discoverpadova.org,True,True,http://www.padovanet.it/cultura-e-turismo/turismo-discover-padova,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
ipadovaoggi.it,ipadovaoggi.it,http://ipadovaoggi.it,True,True,http://www.padovanet.it/,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
ipadovatoday.it,ipadovatoday.it,http://ipadovatoday.it,True,True,http://www.padovanet.it/,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
discoverpadova.com,discoverpadova.com,http://discoverpadova.com,True,True,http://www.padovanet.it/cultura-e-turismo/turismo-discover-padova,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
universidiversi.it,universidiversi.it,http://universidiversi.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
life-ecocourts.it,life-ecocourts.it,http://life-ecocourts.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
irisadamicorradetti.com,irisadamicorradetti.com,http://irisadamicorradetti.com,True,True,http://www.padovanet.it/informazione/concorso-lirico-internazionale-iris-adami-corradetti-edizione-2018,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
irisadamicorradetti.it,irisadamicorradetti.it,http://irisadamicorradetti.it,True,True,http://www.padovanet.it/informazione/concorso-lirico-internazionale-iris-adami-corradetti-edizione-2018,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
padovacapitaledelrunning.it,padovacapitaledelrunning.it,http://www.padovacapitaledelrunning.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
padovacapitalerunning.it,padovacapitalerunning.it,http://padovacapitalerunning.it,True,True,http://www.padovacapitaledelrunning.it/,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
babeleanordest.it,babeleanordest.it,http://babeleanordest.it,True,False,,False,False,False,False,False,False,True,False,False,,,False,False,False,False,False,False,False,False,False
padovanet.org,padovanet.org,http://padovanet.org,True,True,http://www.padovanet.it/,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
padovanet.com,padovanet.com,http://padovanet.com,True,True,http://www.padovanet.it/,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
padovarun.it,padovarun.it,http://padovarun.it,True,True,http://www.padovacapitaledelrunning.it/,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
padovarunning.it,padovarunning.it,http://padovarunning.it,True,True,http://www.padovacapitaledelrunning.it/,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
padovasmart.it,padovasmart.it,http://padovasmart.it,True,True,http://www.padovanet.it/,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
runpadova.it,runpadova.it,http://runpadova.it,True,True,http://www.padovacapitaledelrunning.it/,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
yeswebike.it,yeswebike.it,http://yeswebike.it,True,True,http://www.padovanet.it/,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
meb.comune.padova.it,comune.padova.it,https://meb.comune.padova.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
parcheggipadova.it,parcheggipadova.it,http://www.parcheggipadova.it,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
provincia.padova.it,provincia.padova.it,http://www.provincia.padova.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
apsholding.it,apsholding.it,https://www.apsholding.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
pernessunmotivo.org,pernessunmotivo.org,http://pernessunmotivo.org,True,True,https://www.facebook.com/pernessunmotivo,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
padovacultura.it,padovacultura.it,http://padovacultura.it,True,True,http://padovacultura.padovanet.it/it,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
padovawifi.it,padovawifi.it,http://padovawifi.it,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
polizialocalepadova.it,polizialocalepadova.it,http://www.polizialocalepadova.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
arpa.veneto.it,arpa.veneto.it,http://www.arpa.veneto.it,True,False,,False,False,False,False,True,True,False,False,False,,,False,False,False,False,False,False,False,False,False
telerete.it,telerete.it,http://www.telerete.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
ne-t.it,ne-t.it,http://ne-t.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
memory2000.net,memory2000.net,http://memory2000.net,True,True,http://www.padovanet.it/,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
vocideuropa.net,vocideuropa.net,http://vocideuropa.net,True,True,http://www.padovanet.it/,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
fsbusitaliaveneto.it,fsbusitaliaveneto.it,http://www.fsbusitaliaveneto.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
tribunaledipadova.it,tribunaledipadova.it,http://tribunaledipadova.it,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
discoverpadova.eu,discoverpadova.eu,http://discoverpadova.eu,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
