Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HTTPS Expired Cert,HTTPS Self Signed Cert,HSTS,HSTS Header,HSTS Max Age,HSTS Entire Domain,HSTS Preload Ready,HSTS Preload Pending,HSTS Preloaded,Base Domain HSTS Preloaded,Domain Supports HTTPS,Domain Enforces HTTPS,Domain Uses Strong HSTS,Unknown Error
risorsalongevita.org,risorsalongevita.org,https://www.risorsalongevita.org,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
123homepage.it/acquavivaasd,it/acquavivaasd,http://www.123homepage.it/acquavivaasd,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
pranichealingpd.it,pranichealingpd.it,http://pranichealingpd.it,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
aikidopadova.com,aikidopadova.com,http://www.aikidopadova.com,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
accademiateatroveneto.it,accademiateatroveneto.it,http://accademiateatroveneto.it,True,False,,False,False,False,False,False,True,True,False,False,,,False,False,False,False,False,False,False,False,False
polisbrentella.it,polisbrentella.it,http://www.polisbrentella.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
teamveneto.it,teamveneto.it,http://www.teamveneto.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
aismme.org,aismme.org,http://www.aismme.org,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
alliancefr.it/padova/,it/padova/,http://www.alliancefr.it/padova/,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
agronomisenzafrontiere.it,agronomisenzafrontiere.it,http://www.agronomisenzafrontiere.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
psicomotricitarelazionale.it,psicomotricitarelazionale.it,http://psicomotricitarelazionale.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
andromedaonlus.it,andromedaonlus.it,http://andromedaonlus.it,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
amicimusicapadova.org,amicimusicapadova.org,https://www.amicimusicapadova.org,True,False,,True,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
altragricolturanordest.it,altragricolturanordest.it,http://altragricolturanordest.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
arcadia-onlus.org,arcadia-onlus.org,http://arcadia-onlus.org,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
aicspadova.it,aicspadova.it,http://aicspadova.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
accademiagalileiana.it,accademiagalileiana.it,http://www.accademiagalileiana.it,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
arcadiadidattica.wordpress.com,wordpress.com,https://arcadiadidattica.wordpress.com,True,False,,True,True,False,False,False,False,False,False,True,max-age=15552000,15552000,False,False,False,False,False,True,True,False,False
amnesty.it,amnesty.it,https://www.amnesty.it,True,False,,True,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
assoarka.it,assoarka.it,http://www.assoarka.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
artelier.veneto.it,artelier.veneto.it,http://www.artelier.veneto.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
asac-cori.it,asac-cori.it,http://asac-cori.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
arciconfraternitasantantonio.org,arciconfraternitasantantonio.org,http://www.arciconfraternitasantantonio.org,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
artrockcafe.it,artrockcafe.it,http://www.artrockcafe.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
centrocinofilomanonellazampa.flazio.com,flazio.com,http://www.centrocinofilomanonellazampa.flazio.com,True,True,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
anteaspadova.weebly.com/associazioni.html,html,https://anteaspadova.weebly.com/associazioni.html,True,False,,True,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
aiesec.it,aiesec.it,https://www.aiesec.it,True,False,,True,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
asdliberaespressione.it,asdliberaespressione.it,https://www.asdliberaespressione.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
